from_super_state,to_super_state,from_sub_state,to_sub_state,contact_time,point_name,distance,threshold_value,reason,missing_states,completed_states,last_sub_state
INITIAL,MOVING,S0,S0,2026-01-21 16:19:40.523000,焊把钳下端,,,,,,
MOVING,OPERATION,S0,S0,2026-01-21 16:19:40.572000,焊把钳下端,,,,,,
OPERATION,OPERATION,S0,S2,2026-01-21 16:19:42.872000,油箱顶部,0.3202530249661975,0.35,,,,
OPERATION,OPERATION,S2,S3,2026-01-21 16:20:18.120000,电压电流旋钮,0.5934087966992063,0.6,,,,
OPERATION,OPERATION,S3,S4,2026-01-21 16:20:34.672000,焊把钳下端,0.305211402146119,0.75,,,,
OPERATION,OPERATION,S4,S5,2026-01-21 16:20:49.970000,墙壁电源,0.2376005050499683,0.25,,,,
OPERATION,OPERATION,S5,S6,2026-01-21 16:20:58.369000,焊机电源,0.4860709824706675,0.5,,,,
OPERATION,OPERATION,S6,S7,2026-01-21 16:21:07.570000,电压电流旋钮,0.5991744320312741,0.6,,,,
OPERATION,OPERATION,S7,S8,2026-01-21 16:21:14.968000,接地夹下端,0.5940925853770608,0.63,,,,
OPERATION,OPERATION,S8,S9,2026-01-21 16:21:51.268000,面罩把手,0.3937765864040166,0.45,,,,
OPERATION,OPERATION,S9,S10,2026-01-21 16:22:02.617000,焊机电源,0.4961854492022111,0.5,,,,
OPERATION,OPERATION,S10,S11,2026-01-21 16:22:11.468000,墙壁电源,0.2195745886936827,0.25,,,,
OPERATION,OPERATION,S11,S12,2026-01-21 16:22:22.365000,接地夹下端,0.4831604288432571,0.63,,,,
OPERATION,OPERATION,S12,S13,2026-01-21 16:22:36.366000,锤子,0.5898991439220777,0.6,,,,
OPERATION,ERROR,S13,S15,,,,,incomplete_workflow,['S1'],"['S5', 'S10', 'S3', 'S6', 'S4', 'S2', 'S8', 'S13', 'S7', 'S11', 'S12', 'S9']",
OPERATION,ERROR,S13,S13,,,,,incomplete_workflow,['S1'],,S13
